datetime,level,voltage(V),tempreture(C),current(mA)
2023-02-23 13-12-14,63,3.99,39.0,0.0
2023-02-23 13-12-19,63,3.99,39.0,0.0
2023-02-23 13-12-24,63,3.99,39.0,0.0
2023-02-23 13-12-29,63,4.0,39.0,0.0
2023-02-23 13-12-34,63,4.0,39.0,0.0
2023-02-23 13-12-39,63,4.0,39.0,0.0
