datetime,activity window,fps,jank
2023-02-23 13-38-11,,25,0
2023-02-23 13-38-12,,25,0
2023-02-23 13-38-13,,25,0
2023-02-23 13-38-14,,25,0
2023-02-23 13-38-15,,25,0
2023-02-23 13-38-16,,23,0
2023-02-23 13-38-17,,0,0
2023-02-23 13-38-18,,0,0
2023-02-23 13-38-19,,0,0
2023-02-23 13-38-20,,0,0
